"Data As Of","Jurisdiction of Occurrence","Urban-Rural Classification","Year","Month","Time Period","Total Deaths","Drug Overdose Deaths"
"07/04/2021","United States","3-Medium metro","2020","10","12 month-ending","696,001","20,345"
"07/04/2021","United States","4-Small metro","2020","10","12 month-ending","324,694","7,367"
"07/04/2021","United States","5-Micropolitan","2020","10","12 month-ending","328,619","6,529"
"07/04/2021","United States","6-Noncore","2020","10","12 month-ending","252,034","3,934"
"07/04/2021","United States","1-Large central metro","2020","11","12 month-ending","871,125","30,016"
"07/04/2021","United States","2-Large fringe metro","2020","11","12 month-ending","761,433","21,709"
"07/04/2021","United States","3-Medium metro","2020","11","12 month-ending","709,704","20,605"
"07/04/2021","United States","4-Small metro","2020","11","12 month-ending","333,238","7,436"
"07/04/2021","United States","5-Micropolitan","2020","11","12 month-ending","337,735","6,634"
"07/04/2021","United States","6-Noncore","2020","11","12 month-ending","259,934","4,012"
"07/04/2021","United States","1-Large central metro","2020","12","12 month-ending","901,373","30,420"
"07/04/2021","United States","2-Large fringe metro","2020","12","12 month-ending","784,098","21,871"
"07/04/2021","United States","3-Medium metro","2020","12","12 month-ending","732,775","20,957"
"07/04/2021","United States","4-Small metro","2020","12","12 month-ending","345,278","7,511"
"07/04/2021","United States","5-Micropolitan","2020","12","12 month-ending","350,662","6,781"
"07/04/2021","United States","6-Noncore","2020","12","12 month-ending","269,507","4,114"
